Name,Parent_Name,Marker,Marker_Function,Marker_Source,Marker_Notes,Set,Original_Marker,Original_Name,Original_Parent_Name
AC45,AC,Otor,otoraplin; encodes a member of the melanoma-inhibiting activity gene family,"","",Curated,Otor,AC45,Amacrine Cells
AC46,AC,Nefm,neurofilament medium chain,"","",Curated,Nefm,AC46,Amacrine Cells
AC47,AC,Slc38a5,system N sodium-coupled amino acid transporter,"","",Curated,Slc38a5,AC47,Amacrine Cells
AC48,AC,Adra1b,Alpha-1-adrenergic receptors; activate mitogenic responses and regulate growth and proliferation of many cells,"","",Curated,Adra1b,AC48,Amacrine Cells
AC49,AC,Sh3bp5,SH3 domain binding protein; Enables guanyl-nucleotide exchange factor activity and protein kinase inhibitor activity,"","",Curated,Sh3bp5,AC49,Amacrine Cells
AC50,AC,Ldb2,LIM-domain binding; adapter molecules to allow assembly of transcriptional regulatory complexes,"","",Curated,Ldb2,AC50,Amacrine Cells
AC51,AC,Ghrh,"encoded preproprotein is produced in the hypothalamus and cleaved to generate the mature factor, known as somatoliberin",https://www.nature.com/articles/s41467-023-39023-1/figures/1,"",Curated,Ghrh,AC51,Amacrine Cells
AC52,AC,Gm525,predicted gene (not much info),"","",Curated,Gm525,AC52,Amacrine Cells
AC53,AC,Ngf,nerve growth factor;  has nerve growth stimulating activity and the complex is involved in the regulation of growth and the differentiation of sympathetic and certain sensory neurons,"","",Curated,Ngf,AC53,Amacrine Cells
AC54,AC,Tmem163,Predicted to enable zinc ion binding activity; transmembrane protein,"","",Curated,Tmem163,AC54,Amacrine Cells
AC55,AC,Mafb,basic leucine zipper (bZIP) transcription factor that plays an important role in the regulation of lineage-specific hematopoiesis,"","",Curated,Mafb,AC55,Amacrine Cells
AC56,AC,Lrtm1,Predicted to enable Roundabout binding activity and heparin binding activity,"","",Curated,Lrtm1,AC56,Amacrine Cells
AC57,AC,Tmeff2,transmembrane protein with EGF like and two follistatin like domains; has been shown to function as both an oncogene and a tumor suppressor,"","",Curated,Tmeff2,AC57,Amacrine Cells
AC58,AC,Apela,apelin receptor early endogenous ligand; enable apelin receptor binding activity and hormone activity,"","",Curated,Apela,AC58,Amacrine Cells
AC59,AC,Igfbp2,insulin like growth factor binding protein; one of six similar proteins that bind insulin-like growth factors I and II,"","",Curated,Igfbp2,AC59,Amacrine Cells
AC60,AC,Tnfsf8,cytokine that belongs to the tumor necrosis factor (TNF) ligand family,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0085408,"",Curated,Tnfsf8,AC60,Amacrine Cells
AC61,AC,Epha3,belongs to the ephrin receptor subfamily of the protein-tyrosine kinase family,https://www.researchgate.net/figure/Developmental-patterns-of-expression-of-tectal-EphA3-and-retinal-ephrin-As-and-Tyr-602_fig9_225287800,"",Curated,Epha3,AC61,Amacrine Cells
AC62,AC,Pappa2,metzincin metalloproteinases; cleaves insulin-like growth factor-binding protein 5,"","",Curated,Pappa2,AC62,Amacrine Cells
AC63,AC,Crip2,cysteine rich protein 2; putative transcription factor with two LIM zinc-binding domains,"","",Curated,Crip2,AC63,Amacrine Cells
ASTROCYTE,GLIAL CELL,Slc1a3,termination of excitatory neurotransmission in central nervous system; also associated with cell metabolism,"","",Curated,Slc1a3,Astrocytes,Glial cells
ASTROCYTE,GLIAL CELL,Gfap,encodes one of the major intermediate filament proteins of mature astrocytes,https://www.researchgate.net/figure/Human-immunostaining-of-MTRN-and-GFAP-on-retinal-cryosection-Immunostaining-on-human_fig3_352971359,mutations cause Alexander disease = rare disorder of astrocytes in CNS,Curated,Gfap,Astrocytes,Glial cells
ASTROCYTE,GLIAL CELL,Pdgfra,encodes a cell surface tyrosine kinase receptor for members of the platelet-derived growth factor family,"","",Curated,Pdgfra,Astrocytes,Glial cells
ASTROCYTE,GLIAL CELL,S100b,"involved in the regulation of a number of cellular processes such as cell cycle progression and differentiation; may function in neurite extension, astrocytosis and axonal proliferation, and inhibition of microtubule assembly","","",Curated,S100b,Astrocytes,Glial cells
ASTROCYTE,GLIAL CELL,Isg15,chemotactic activity towards neutrophils; direction of ligated target proteins to intermediate filaments; cell-to-cell signaling; antiviral activity,"","",Curated,Isg15,Astrocytes,Glial cells
MICROGLIA,GLIAL CELL,Cd74,associates with MHC II; important chaperone regulating antigen presentation for immune response,https://www.researchgate.net/figure/Confocal-micrographs-showing-the-presence-of-CD74-microglia-and-CD3-T-lymphocytes-in_fig3_232740752,"",Curated,Cd74,Microglia,Glial cells
MICROGLIA,GLIAL CELL,Ptprc,"","","",Curated,Ptprc,Microglia,Glial cells
MICROGLIA,GLIAL CELL,Tmem119,"involved in positive regulation of bone mineralization, osteoblast differentiation, and osteoblast proliferation","","",Curated,Tmem119,Microglia,Glial cells
MICROGLIA,GLIAL CELL,P2ry12,involved in platelet aggregation,"","",Curated,P2ry12,Microglia,Glial cells
MICROGLIA,GLIAL CELL,Isg15,chemotactic activity towards neutrophils; direction of ligated target proteins to intermediate filaments; cell-to-cell signaling; antiviral activity,"","",Curated,Isg15,Microglia,Glial cells
MICROGLIA,GLIAL CELL,Irf7,plays an important role in the innate immune response against DNA and RNA viruses,"","",Curated,Irf7,Microglia,Glial cells
MG,GLIAL CELL,Rlbp1,encodes water-soluble protein; may be a functional component of the visual cycle,"","",Curated,Rlbp1,Muller Glia,Glial cells
MG,GLIAL CELL,Aqp4,encodes intrinsic membrane protein that functions as water-selective channels in the plasma membranes of many cells; predominant aquaporin in brain,"","",Curated,Aqp4,Muller Glia,Glial cells
MG,GLIAL CELL,Slc1a3,member of a high affinity glutamate transporter family; functions in the termination of excitatory neurotransmission in CNS,"","",Curated,Slc1a3,Muller Glia,Glial cells
MG,GLIAL CELL,Glul,"catalyzes the synnthesis of glutamine from glutamate and ammonia in an ATP-dependent reaction; plays a role in ammonia and glutamate detoxification, acid-base homeostasis, cell signaling, and cell proliferation","","",Curated,Glul,Muller Glia,Glial cells
MG,GLIAL CELL,Pax6,bind DNA and function as regulators of gene transcription; participates in neural development in the eyes,https://www.researchgate.net/figure/Expression-of-Bclaf1-in-the-adult-retina-Retinal-sections-from-adult-mice-were_fig3_259878249,"",Curated,Pax6,Muller Glia,Glial cells
ENDOTHELIAL,OTHER,Cldn5,encodes a member of the claudin family; claudins are integral membrane proteins and components of tight junction strands,"","",Curated,Cldn5,endothelial cells,Other
ENDOTHELIAL,OTHER,Ly6c1,predicted to enable acetylcholine receptor binding activity and acetylcholine receptor inhibitor activity,"","",Curated,Ly6c1,endothelial cells,Other
ENDOTHELIAL,OTHER,Rbpms,RNA binding protein with multiple splicing; regulates cell development in cardiomyocytes,https://www.mdpi.com/1422-0067/21/23/9330,"",Curated,Rbpms,endothelial cells,Other
ENDOTHELIAL,OTHER,Pecam1,"makes up a large portion of endothelial cell intercellular junctions; likely involved in leukocyte migration, angiogenesis, and integrin activation",https://www.researchgate.net/figure/Immunofluorescent-staining-for-Adam15-PECAM-1-and-PDGFR-in-normal-and-ischemic_fig1_5470502,"",Curated,Pecam1,endothelial cells,Other
PERICYTE,OTHER,Pdgfrb,encodes a cell surface tyrosine kinase receptor for members of the platelet-derived growth factor family; essential for normal development of cardiovascular system + aids in rearrangement of the actin cytoskeleton,https://www.researchgate.net/figure/Retinal-vascular-development-in-pdgf-b-ret-ret-mice-Retinal-vessels-in-control-pdgf-b_fig5_10631184,"",Curated,Pdgfrb,Pericytes,Other
PERICYTE,OTHER,Acta2,"encades 1 of 6 actin proteins, smooth muscle actin, which is involved in vacular contractility and blood pressure homeostasis","","",Curated,Acta2,Pericytes,Other
PERICYTE,OTHER,Rgs5,prevents vagal-related bradycardia and atrial trachycardia by negatively regulating the IKA Ach current,"","",Curated,Rgs5,Pericytes,Other
PERICYTE,OTHER,Mgp,matrix Gla protein; functions as a physiological inhibitor of ectopic tissue calcification,"","",Curated,Mgp,Pericytes,Other
PERICYTE,OTHER,Rbpms,RNA binding protein with multiple splicing; regulates cell development in cardiomyocytes,https://www.mdpi.com/1422-0067/21/23/9330,"",Curated,Rbpms,Pericytes,Other
RPE,OTHER,Rdh5,retinol dehydrogenase; catalyzes the final step in the biosynthesis of 11-cis retinaldehyde (universal chromophore of visual pigments),"","",Curated,Rdh5,RPE,Other
RPE,OTHER,Rpe65,encodes protein that is a component of the vitamin A visual cycle of the retina,https://www.researchgate.net/figure/Immunohistochemical-localization-of-RPE65-M-L-and-S-cone-opsins-and-rod-opsin-in-normal_fig2_45424022,"",Curated,Rpe65,RPE,Other
RPE,OTHER,Rlbp1,encodes water-soluble protein; may be a functional component of the visual cycle,"","",Curated,Rlbp1,RPE,Other
CONJUNCTIVAL EPITHELIUM,OTHER,Krt15,member of the keratin gene family; keratins are intermediate filament proteins responsible for the structural integrity of epithelial cells,"","",Curated,Krt15,conjunctival epithelium,Other
CONJUNCTIVAL EPITHELIUM,OTHER,Gsto1,encodes an omega class glutathione S-transferase with glutathione-dependent thiol transferase and dehydroascorbate reductase activities; acts as a homodimer and is found in the cytoplasm,"","",Curated,Gsto1,conjunctival epithelium,Other
CILIARY EPITHELIUM,OTHER,Gpx3,"encodes a protein that belongs to the glutathione peroxidase family, members of which catalyze the reduction of organic hydroperoxides and hydrogen peroxide by glutathione -- protect cells against oxidative damage","","",Curated,Gpx3,ciliary epithelium,Other
CILIARY EPITHELIUM,OTHER,Penk,"encodes a preproprotein that is proteolytically procesed to generate multiple protein products, including pentapeptide opioids Met-enkaphalin and Leu-enkephalin, which are stored in synaptic vesicles","","",Curated,Penk,ciliary epithelium,Other
SCLERAL FIBROBLAST,OTHER,Dcn,encodes a member of the small leucine-rich proteoglycan family,"","",Curated,Dcn,scleral fibroblasts,Other
SCLERAL FIBROBLAST,OTHER,Igfbp5,enables insulin-like growth factor I binding activity; involved in cellular response to cAMP,"","",Curated,Igfbp5,scleral fibroblasts,Other
MELANOCYTE,OTHER,Serpina3n,predicted to enable serine-type endopeptidase inhibitor activity,"","",Curated,Serpina3n,melanocytes,Other
MELANOCYTE,OTHER,Mlana,role in regulating mammalian pigmentation,"","",Curated,Mlana,melanocytes,Other
NEUTROPHIL,IMMUNE CELL,Retnlg,predicted to enable hormone activity,"","",Curated,Retnlg,neutrophils,Immune Cells
NEUTROPHIL,IMMUNE CELL,S100a9,ecodes a member of the S100 family of proteins; involved in cell cycle progression and differentiation; may function in inhibition of casein kinase,"","",Curated,S100a9,neutrophils,Immune Cells
NEUTROPHIL,IMMUNE CELL,Srgn,encodes protein known as a hematopoietic cell granule proteglycan; associated w/ the macromolecular complex of granzymes and perforin,"","",Curated,Srgn,neutrophils,Immune Cells
NEUTROPHIL,IMMUNE CELL,Slpi,encodes a secreted inhibitor which protects epithelial tissues from serine proteases,"","",Curated,Slpi,neutrophils,Immune Cells
MONOCYTE,IMMUNE CELL,Ccr2,"receptor for monocyte chemoattractant protein-1, a cytokine which specifically mediates monocyte chemotaxis; mediates agonist-dependent calcium mobilization and inhibition of adenylyl cyclas","","",Curated,Ccr2,monocytes,Immune Cells
MONOCYTE,IMMUNE CELL,Ms4a6c,"","","",Curated,Ms4a6c,monocytes,Immune Cells
MONOCYTE,IMMUNE CELL,Cd209a,enables carbohydrate derivative binding activity and mannose binding activity; predicted to be involved in immune response,"","",Curated,Cd209a,monocytes,Immune Cells
MONOCYTE,IMMUNE CELL,Ms4a7,associated w/ mature cellular function in the monocytic lineage; may be a component of a receptor complex involved in signal transduction,"","",Curated,Ms4a7,monocytes,Immune Cells
MONOCYTE,IMMUNE CELL,Tgfbi,"encodes an RGD-containing protein that binds to type I, II, and IV collagen","","",Curated,Tgfbi,monocytes,Immune Cells
DENDRITIC CELL,IMMUNE CELL,Cd74,"encodes a protein that associates w/ class II major histocompatability complex and is an important chaperone that regulates antigen presentation for immune response; serves as cell surface receptor for the cytokine macrophage migration inhibitory factor, which initiates survival pathways and cell proliferation when bound to the encoded protein","","",Curated,Cd74,dendritic cells,Immune Cells
DENDRITIC CELL,IMMUNE CELL,Lsp1,encodes an intracellular F-actin binding protein,"","",Curated,Lsp1,dendritic cells,Immune Cells
DENDRITIC CELL,IMMUNE CELL,Ccr2,"receptor for monocyte chemoattractant protein-1, a cytokine which specifically mediates monocyte chemotaxis; mediates agonist-dependent calcium mobilization and inhibition of adenylyl cyclase","","",Curated,Ccr2,dendritic cells,Immune Cells
DENDRITIC CELL,IMMUNE CELL,Cd209a,enables carbohydrate derivative binding activity and mannose binding activity; predicted to be involved in immune response,"","",Curated,Cd209a,dendritic cells,Immune Cells
BAM,IMMUNE CELL,Ms4a7,associated w/ mature cellular function in the monocytic lineage; may be a component of a receptor complex involved in signal transduction,"","",Curated,Ms4a7,BAMs,Immune Cells
BAM,IMMUNE CELL,Lyz2,enables lysozyme activity; involved in defense response to bacterium,"","",Curated,Lyz2,BAMs,Immune Cells
MACROPHAGE,IMMUNE CELL,Ms4a7,associated w/ mature cellular function in the monocytic lineage; may be a component of a receptor complex involved in signal transduction,"","",Curated,Ms4a7,macrophages,Immune Cells
MACROPHAGE,IMMUNE CELL,Tgfbi,"encodes an RGD-containing protein that binds to type I, II, and IV collagen","","",Curated,Tgfbi,macrophages,Immune Cells
B CELL,IMMUNE CELL,Cd79a,predicted to enable identical protein binding activity; involved in B cell differentiation and B cell proliferation,"","",Curated,Cd79a,B cells,Immune Cells
B CELL,IMMUNE CELL,Ms4a1,encodes a B-lymphocyte surface molecule which plays a role in the development and differentiation of B-cells into plasma cells,"","",Curated,Ms4a1,B cells,Immune Cells
PLASMA B CELL,IMMUNE CELL,Igha,enables antigen binding activity; acts upstream of or within humoral immune response mediated by circulating immunoglobin and mucosal immune response,"","",Curated,Igha,plasma B cells,Immune Cells
PLASMA B CELL,IMMUNE CELL,Jchain,enables IgA binding activity and protein homodimerization activity,"","",Curated,Jchain,plasma B cells,Immune Cells
T CELL,IMMUNE CELL,Cd3d,encodes a protein that is part of the T-cell receptor/CD3 complex and is involved in T-cell development and signal transduction,"","",Curated,Cd3d,T cells,Immune Cells
T CELL,IMMUNE CELL,Trbc2,predicted to enable antigen binding activity and immunoglobulin receptor binding activity; predicted to be integral component of membrane,"","",Curated,Trbc2,T cells,Immune Cells
T/NK CELL,IMMUNE CELL,Nkg7,predicted to be an integral component of plasma membrane,"","",Curated,Nkg7,T/NK cells,Immune Cells
T/NK CELL,IMMUNE CELL,Trbc2,predicted to enable antigen binding activity and immunoglobulin receptor binding activity; predicted to be integral component of membrane,"","",Curated,Trbc2,T/NK cells,Immune Cells
BC1A,BC1,Pcdh17,fuction-specific connections between cells in the brain,Fig B: https://ars.els-cdn.com/content/image/1-s2.0-S0092867416310078-gr3_lrg.jpg,"",Curated,Pcdh17,BC1A,BC1
BC1A,BC1,Tacr3,"tachykinin receptor, interacts with G-proteins and hydrophobic transmembrane areas","","",Curated,Tacr3,BC1A,BC1
BC1B,BC1,Wls,Wnt-protein binding activity.,Fig B: https://ars.els-cdn.com/content/image/1-s2.0-S0092867416310078-gr3_lrg.jpg,"",Curated,Wls,BC1B,BC1
BC1B,BC1,Pcdh10,"involved in homophilic cell adhesion, component of plasma membrane","","",Curated,Pcdh10,BC1B,BC1
BC1B,BC1,Tacr3,"tachykinin receptor, interacts with G-proteins and hydrophobic transmembrane areas","","",Curated,Tacr3,BC1B,BC1
BC3A,BC3,Erbb4,"Protein tyrosine kinase activity, found in GABA and Glutamatergic synapses",Fig B: https://ars.els-cdn.com/content/image/1-s2.0-S0092867416310078-figs5_lrg.jpg,"",Curated,Erbb4,BC3A,BC3
BC3A,BC3,Irx6,"enables DNA binding transcription activator, RNA polymerase II specific; involved in neuron differentiation, transcriptional regulation, detection of light, retina formation","","",Curated,Irx6,BC3A,BC3
BC3B,BC3,Nnat,Has a role in neurological development.,Fig A: https://ars.els-cdn.com/content/image/1-s2.0-S0092867416310078-figs5_lrg.jpg,"",Curated,Nnat,BC3B,BC3
BC3B,BC3,Grik1,kainate glutamate receptor (ionotropic),"","",Curated,Grik1,BC3B,BC3
BC5A,BC5,Sox6,Transcription factor: impacts brain development,"","",Curated,Sox6,BC5A,BC5
BC5A,BC5,Kcng4,involved in K+ transport across the membrane,"Fig B, bipolar cells, green: https://www.nature.com/articles/nn.3032/figures/1","",Curated,Kcng4,BC5A,BC5
BC5A,BC5,Cabp5,involved in Ca+ binding,Fig H,"",Curated,Cabp5,BC5A,BC5
BC5A,BC5,Hcn1,enables intracellular cAMP-activated vation channel activity,"","",Curated,Hcn1,BC5A,BC5
BC5B,BC5,Chrm2,"G-protein coupled receptor pathway, synaptic vesicle exocytosis",Fig C: https://ars.els-cdn.com/content/image/1-s2.0-S0092867416310078-gr4_lrg.jpg,"",Curated,Chrm2,BC5B,BC5
BC5B,BC5,Cabp5,invovled in Ca+ binding,Fig H,"",Curated,Cabp5,BC5B,BC5
BC5B,BC5,Hcn1,enables intracellular cAMP-activated vation channel activity,"","",Curated,Hcn1,BC5B,BC5
BC5C,BC5,Slitrk5,"upregulates synapse construction, generating/organizing neuronal projections",Fig D: https://ars.els-cdn.com/content/image/1-s2.0-S0092867416310078-gr4_lrg.jpg,"",Curated,Slitrk5,BC5C,BC5
BC5D,BC5,Lrrtm1,"plays a role in LTP, downregulating receptor internalization, upregulates synapse construction",Fig E: https://ars.els-cdn.com/content/image/1-s2.0-S0092867416310078-gr4_lrg.jpg,"",Curated,Lrrtm1,BC5D,BC5
BC5D,BC5,Kcng4,involved in K+ transport across the membrane,"Fig B, bipolar cells, green: https://www.nature.com/articles/nn.3032/figures/1","",Curated,Kcng4,BC5D,BC5
BC6 AXON TERMINAL,BC6,Syt2,"inhibitory neurons, neurotransmitter release","","",Curated,Syt2,BC6 axon terminals,BC6
ALPHAON-S,ALPHA-RGC,Il1rapl2,member of the interleukin 1 receptor family; specifically expressed in the nervous system from embryonic day 12.5; located on x chromosome; similar to interleukin 1 accessory proteins,Fig S2A: https://ars.els-cdn.com/content/image/1-s2.0-S0896627319309699-mmc1.pdf,same cluster as M4 in ipRGCs,Curated,Il1rapl2,alphaON-S,alpha-RGCs
ALPHAON-S,ALPHA-RGC,Spp1,"osteopontin; multifunctional protein; intercellular communication; extracellular matrix; cytokine, chemokine, and signal transduction functions; induce neuroprotective state in astrocytes; promote mitochondrial function and VDAC1 expression; protect RGCs and vision function in glaucoma; essential in pathway that leads to Type I immunity","","",Curated,Spp1,alphaON-S,alpha-RGCs
ALPHAON-S,ALPHA-RGC,Opn4,encodes a photoreceptive opsin protein that is expressed within the ganglion and amacrine cell layers of the retina; functions as a sensory photopigement and may also have photoisomerase activity; in mice this protein is coupled to a transient receptor potential ion channel through a G protein signaling pathway and produces a physiologic light resposne via membrane depolarization and increased intracellular calcium,"","",Curated,Opn4,alphaON-S,alpha-RGCs
ALPHAON-S,ALPHA-RGC,Calb1,calcium-binding protein; buffer entry of calcium upon stimulation of glutamate receptors; may play a role in preventing neuron death,"","",Curated,Calb1,alphaON-S,alpha-RGCs
ALPHAON-T,ALPHA-RGC,Kit,"encodes a receptor tyrosine kinase; protects photoreceptor cells against both light-induced and inherited retinal degeneration; upon light damage, photoreceptor cells upregulate Kit ligand and activate KIT signaling, which induces nuclear accumulation of NRF2 and stimulates the expression of the antioidant gene Hmox1",Fig S2A: https://ars.els-cdn.com/content/image/1-s2.0-S0896627319309699-mmc1.pdf,overexpression of KITL from a viral AAV8 vector prevents photoreceptor cell death and partially restores retinal function after light damage or in genetic models of human retinitis pigmentosa,Curated,Kit,alphaON-T,alpha-RGCs
ALPHAON-T,ALPHA-RGC,Spp1,"osteopontin; multifunctional protein; intercellular communication; extracellular matrix; cytokine, chemokine, and signal transduction functions; induce neuroprotective state in astrocytes; promote mitochondrial function and VDAC1 expression; protect RGCs and vision function in glaucoma; essential in pathway that leads to Type I immunity","","",Curated,Spp1,alphaON-T,alpha-RGCs
ALPHAOFF-T,ALPHA-RGC,Tpbg,"encodes a leucine-rich transmembrane glycoprotein that may be involved in cell adhesion; required for normal development of synaptic ribbons and efficient release of neurotransmitters from RBCs to other cells; activates the CXCL12/CXCR7/pERK axis, which regulates the migratory and angiogenic activities of pericytes",Fig S2A: https://ars.els-cdn.com/content/image/1-s2.0-S0896627319309699-mmc1.pdf,"during retinal development, expression increases dramatically in the retina just before eye opening",Curated,Tpbg,alphaOFF-T,alpha-RGCs
ALPHAOFF-T,ALPHA-RGC,Spp1,"osteopontin; multifunctional protein; intercellular communication; extracellular matrix; cytokine, chemokine, and signal transduction functions; induce neuroprotective state in astrocytes; promote mitochondrial function and VDAC1 expression; protect RGCs and vision function in glaucoma; essential in pathway that leads to Type I immunity","","",Curated,Spp1,alphaOFF-T,alpha-RGCs
ALPHAOFF-T,ALPHA-RGC,Pou4f3,member of Pou-IV class of neural transcription factors; positive regulation of transcription by RNA polymerase II; may play a role in determining or maintaining the identities of RGCs,"","",Curated,Pou4f3,alphaOFF-T,alpha-RGCs
ALPHAOFF-S,ALPHA-RGC,Fes,encodes the human counterpart of a feline sarcoma retrovirus protein with transforming capabilities; product has tyrosine-specific protein kinase activity and that activity is required for maintenance of cellular transformation; alternative splicing,Fig S2A: https://ars.els-cdn.com/content/image/1-s2.0-S0896627319309699-mmc1.pdf,"",Curated,Fes,alphaOFF-S,alpha-RGCs
ALPHAOFF-S,ALPHA-RGC,Spp1,"osteopontin; multifunctional protein; intercellular communication; extracellular matrix; cytokine, chemokine, and signal transduction functions; induce neuroprotective state in astrocytes; promote mitochondrial function and VDAC1 expression; protect RGCs and vision function in glaucoma; essential in pathway that leads to Type I immunity","","",Curated,Spp1,alphaOFF-S,alpha-RGCs
J-RGC,T-RGC,Pcdh20,"specific function is undetermined, but thought to play a role in the establishment and function of specific cell-cell connections in the brain",Fig S2D: https://ars.els-cdn.com/content/image/1-s2.0-S0896627319309699-mmc1.pdf,"",Curated,Pcdh20,J-RGC,T-RGCs
J-RGC,T-RGC,Tbr1,plays a critical role in the formation and survival of 2 types of OFF-sustained RGCs and orientation-selective J-RGCs; regulates dendritic morphogenesis; helps establish synaptic connections w/ bipolar cells; visual responsiveness,"","",Curated,Tbr1,J-RGC,T-RGCs
J-RGC,T-RGC,Jam2,"member of the junctional adhesion molecule family, which regulates cell polarity, blood-brain barrier function, endothelium permeability, and leukocyte migration","","",Curated,Jam2,J-RGC,T-RGCs
TBR1-S1,T-RGC,Irx4,"crucial regulator of Slit1 expression, which guides retinal axons inside the OFL and provides intermediate targets for retinal axons during their growth within the retina","","",Curated,Irx4,Tbr1-S1,T-RGCs
TBR1-S1,T-RGC,Tbr1,plays a critical role in the formation and survival of 2 types of OFF-sustained RGCs and orientation-selective J-RGCs; regulates dendritic morphogenesis; helps establish synaptic connections w/ bipolar cells; visual responsiveness,"","",Curated,Tbr1,Tbr1-S1,T-RGCs
TBR1-S2,T-RGC,Calca,"encodes calcitonin, which is involved in calcium regulation and acts to regulate phosphorus metabolism","","",Curated,Calca,Tbr1-S2,T-RGCs
TBR1-S2,T-RGC,Tbr1,plays a critical role in the formation and survival of 2 types of OFF-sustained RGCs and orientation-selective J-RGCs; regulates dendritic morphogenesis; helps establish synaptic connections w/ bipolar cells; visual responsiveness,"","",Curated,Tbr1,Tbr1-S2,T-RGCs
TBR1-NOVEL,T-RGC,Slc7a11,regulates metabolic reprogramming in both normal and cancer cells; transporter that controls the uptake of extracellular cystine in exchange for intracellular glutamate,"","",Curated,Slc7a11,Tbr1-Novel,T-RGCs
TBR1-NOVEL,T-RGC,Plpp4,"enables diacylglycerol diphosphate phosphatase activity, identical protein binding activity, and phosphatidate phosphatase activity; phospholipid dephosphorylation and regulation of calcium ion import","",novel type,Curated,Plpp4,Tbr1-Novel,T-RGCs
W3L1,T5-RGC,Serpine2,"inhibit serine proteases like Thrombin, urokinase, plasmin, and trypsin","","",Curated,Serpine2,W3L1,T5-RGCs
W3L1,T5-RGC,Amigo2,cell-type specific dendritic scaling factor; regulates PDK1 membrane localization and Akt activation in endothelial cells,"","in Amigo2 KO mice, starburst amacrine cell and rod bipolar cell dendrites expand while arbors of other retinal neurons remain stable",Curated,Amigo2,W3L1,T5-RGCs
W3D1,T5-RGC,Lypd1,predicted to enable acetylcholine receptor binding activity and acetylcholine receptor inhibitor activity,Fig S2D: https://ars.els-cdn.com/content/image/1-s2.0-S0896627319309699-mmc1.pdf,"",Curated,Lypd1,W3D1,T5-RGCs
W3L2,T5-RGC,Lypd1,predicted to enable acetylcholine receptor binding activity and acetylcholine receptor inhibitor activity,Fig S2D: https://ars.els-cdn.com/content/image/1-s2.0-S0896627319309699-mmc1.pdf,"",Curated,Lypd1,W3L2,T5-RGCs
W3L2,T5-RGC,Ntrk1,member of neurotrophic tyrosine kinase receptor family; leads to cell differentiation and may play a role in specifying sensory neuron subtypes,"","",Curated,Ntrk1,W3L2,T5-RGCs
W3D2,T5-RGC,Prokr1,"encodes a member of the G-protein-coupled receptor family, which binds to prokineticins, leading to the activation of MAPK and STAT signaling pathways",Fig S2D: https://ars.els-cdn.com/content/image/1-s2.0-S0896627319309699-mmc1.pdf,"",Curated,Prokr1,W3D2,T5-RGCs
W3D3,T5-RGC,Postn,encodes a secreted extracellular matrix protein that functions in tissue development and regeneration; encoded protein beind to integrins to support adhesion and migration of epithelial cells,Fig S2D: https://ars.els-cdn.com/content/image/1-s2.0-S0896627319309699-mmc1.pdf,"",Curated,Postn,W3D3,T5-RGCs
W3B,T5-RGC,Zic1,"encodes a member of the ZIC family of C2H2-type zinc finger proteins, which are important during development",Fig S2E: https://ars.els-cdn.com/content/image/1-s2.0-S0896627319309699-mmc1.pdf,"",Curated,Zic1,W3B,T5-RGCs
W3B,T5-RGC,Sdk2,directs formation of a retinal circuit that detects differential motion,"","",Curated,Sdk2,W3B,T5-RGCs
F-MINI-ON,T5/F-RGC,Irx4,"crucial regulator of Slit1 expression, which guides retinal axons inside the OFL and provides intermediate targets for retinal axons during their growth within the retina","",Foxp2 & Tusc5 moved above,Curated,Irx4,F-mini-ON,T5/F-RGCs
F-MINI-ON,T5/F-RGC,Foxp2,"involved in growth of nerve cells, tranmission of signals between neurons, synaptic plasticity, and development of speech and language","","",Curated,Foxp2,F-mini-ON,T5/F-RGCs
F-MINI-OFF,T5/F-RGC,Pde1a,play a role in signal transduction by regulating intracellular cyclic nucleotide concentrations through hydrolysis of cAMP and/or cGMP to their respective nucleoside t-prime monophosphates,Fig S2D: https://ars.els-cdn.com/content/image/1-s2.0-S0896627319309699-mmc1.pdf,"",Curated,Pde1a,F-mini-OFF,T5/F-RGCs
F-MIDI-ON,F-RGC,Anza3,"","","",Curated,Anza3,F-midi-ON,F-RGCs
F-MIDI-ON,F-RGC,Foxp2,"involved in growth of nerve cells, tranmission of signals between neurons, synaptic plasticity, and development of speech and language","","",Curated,Foxp2,F-midi-ON,F-RGCs
F-MIDI-OFF,F-RGC,Cdk15,enables protein serine/threonine kinase activity; predicted to be involved in protein phosphorylation and regulation of transcription involved in G1/S transition of mitotic cell cycle,"","",Curated,Cdk15,F-midi-OFF,F-RGCs
F-MIDI-OFF,F-RGC,Foxp2,"involved in growth of nerve cells, tranmission of signals between neurons, synaptic plasticity, and development of speech and language","","",Curated,Foxp2,F-midi-OFF,F-RGCs
F-NOVEL,F-RGC,Coch,plays a role in the control of cell shape and motility in the trabecular meshwork,"",novel type; S1/5 bistratified RGC,Curated,Coch,F-Novel,F-RGCs
F-NOVEL,F-RGC,Rhox5,"enables DNA-binding transcription activator activity, RNA polymerase II-specific","","",Curated,Rhox5,F-Novel,F-RGCs
F-NOVEL,F-RGC,Prdm8,encodes a protein that belongs to a family of histone methyltransferases that predominantly act as negative regulators of transcription,Fig S2B: https://ars.els-cdn.com/content/image/1-s2.0-S0896627319309699-mmc1.pdf,"",Curated,Prdm8,F-Novel,F-RGCs
