Name	Marker	Curated	Queried	Major_Name
AC31	Filip1l		Queried	AC
AC4	Filip1l		Queried	AC
AC46	Filip1l		Queried	AC
AC61	Filip1l		Queried	AC
ENDOTHELIAL	Flt1		Queried	ENDOTHELIAL
BC1B	Fn1		Queried	BC
BC7	Fn1		Queried	BC
AC	Fos		Queried	AC
AC16	Fos		Queried	AC
AC56	Fos		Queried	AC
ASTROCYTE	Fos		Queried	ASTROCYTE
NOVEL_30	Fos		Queried	RGC
ASTROCYTE	Fosb		Queried	ASTROCYTE
F-RGC	Foxp1	Curated		RGC
F-MIDI-OFF	Foxp2	Curated	Queried	RGC
F-MIDI-ON	Foxp2	Curated	Queried	RGC
F-MINI-OFF	Foxp2		Queried	RGC
F-MINI-ON	Foxp2	Curated	Queried	RGC
F-NOVEL	Foxp2		Queried	RGC
F-RGC	Foxp2	Curated		RGC
T5/F-RGC	Foxp2	Curated		RGC
BC1A	Frmd3		Queried	BC
AC	Frmd5		Queried	AC
AC14	Frmd5		Queried	AC
AC16	Frmd5		Queried	AC
AC20	Frmd5		Queried	AC
AC38	Frmd5		Queried	AC
AC49	Frmd5		Queried	AC
AC33	Frmpd4		Queried	AC
AC63	Frmpd4		Queried	AC
F-MIDI-OFF	Frmpd4		Queried	RGC
F-MINI-ON	Frmpd4		Queried	RGC
HC	Frmpd4		Queried	HC
AC44	Fstl5		Queried	AC
NOVEL_13	Fstl5		Queried	RGC
MICROGLIA	Ftl1		Queried	MICROGLIA
AC	Fxyd6		Queried	AC
AC21	Fxyd6		Queried	AC
AC27	Fxyd6		Queried	AC
AC44	Fxyd6		Queried	AC
AC50	Fxyd6		Queried	AC
AC52	Fxyd6		Queried	AC
AC54	Fxyd6		Queried	AC
AC57	Fxyd6		Queried	AC
AC59	Fxyd6		Queried	AC
NOVEL_44	Fxyd6	Curated		RGC
AC6	Gabra1		Queried	AC
BC1A	Gabra1		Queried	BC
MOUSE AC	Gabra1		Queried	AC
AC13	Gabra2		Queried	AC
AC20	Gabra2		Queried	AC
AC42	Gabra2		Queried	AC
AC51	Gabra2		Queried	AC
AC55	Gabra2		Queried	AC
AC57	Gabra2		Queried	AC
F-MIDI-OFF	Gabra2		Queried	RGC
AC22	Gabrb1		Queried	AC
AC37	Gabrb1		Queried	AC
AC43	Gabrb1		Queried	AC
BC1A	Gabrb1		Queried	BC
BC8	Gabrb1		Queried	BC
NOVEL_29	Gabrb1		Queried	RGC
NOVEL_36	Gabrb1		Queried	RGC
NOVEL_44	Gabrb1		Queried	RGC
TBR1-NOVEL	Gabrb1		Queried	RGC
AC19	Gabrg3		Queried	AC
AC2	Gabrg3		Queried	AC
AC20	Gabrg3		Queried	AC
AC3	Gabrg3		Queried	AC
AC33	Gabrg3		Queried	AC
AC4	Gabrg3		Queried	AC
AC42	Gabrg3		Queried	AC
AC57	Gabrg3		Queried	AC
AC61	Gabrg3		Queried	AC
NOVEL_13	Gabrg3		Queried	RGC
NOVEL_24	Gabrg3		Queried	RGC
NOVEL_7	Gabrg3		Queried	RGC
NT-OODSGC	Gabrg3		Queried	RGC
OODS_CCK_14	Gabrg3		Queried	RGC
TBR1-S2	Gabrg3		Queried	RGC
W3D2	Gabrg3		Queried	RGC
BC5A	Gabrr2		Queried	BC
BC7	Gabrr2		Queried	BC
BC4	Gabrr3		Queried	BC
BC5C	Gabrr3		Queried	BC
AC17	Gad1		Queried	AC
AC20	Gad1		Queried	AC
AC23	Gad1		Queried	AC
AC26	Gad1		Queried	AC
AC31	Gad1		Queried	AC
AC42	Gad1		Queried	AC
AC49	Gad1		Queried	AC
AC5	Gad1		Queried	AC
NOVEL_20	Gal	Curated		RGC
AC26	Galnt17		Queried	AC
AC8	Galnt17		Queried	AC
W3B	Galnt17		Queried	RGC
AC3	Galnt18		Queried	AC
AC5	Galnt18		Queried	AC
AC55	Galnt18		Queried	AC
HC	Galnt18		Queried	HC
AC15	Galntl6		Queried	AC
AC18	Galntl6		Queried	AC
AC25	Galntl6		Queried	AC
AC27	Galntl6		Queried	AC
AC29	Galntl6		Queried	AC
AC36	Galntl6		Queried	AC
AC39	Galntl6		Queried	AC
AC40	Galntl6		Queried	AC
AC50	Galntl6		Queried	AC
AC52	Galntl6		Queried	AC
AC58	Galntl6		Queried	AC
AC63	Galntl6		Queried	AC
BC1A	Galntl6		Queried	BC
BC2	Galntl6		Queried	BC
F-MINI-OFF	Galntl6		Queried	RGC
F-NOVEL	Galntl6		Queried	RGC
M3, M5, OR M6	Galntl6		Queried	RGC
NOVEL_11	Galntl6		Queried	RGC
NOVEL_13	Galntl6		Queried	RGC
NOVEL_15	Galntl6		Queried	RGC
NOVEL_30	Galntl6		Queried	RGC
RGC	Galntl6		Queried	RGC
W3B	Galntl6		Queried	RGC
AC7	Gas7		Queried	AC
MOUSE AC	Gas7		Queried	AC
AC40	Gch1	Curated		AC
ASTROCYTE	Gfap	Curated	Queried	ASTROCYTE
REACTIVE MG	Gfap	Curated		MG
AC38	Gfra1		Queried	AC
AC53	Gfra1		Queried	AC
AC6	Gfra1		Queried	AC
AC51	Ghrh	Curated		AC
AC3	Gjd2	Curated		AC
AC29	Glra1	Curated	Queried	AC
AC35	Glra3		Queried	AC
AC5	Glra3		Queried	AC
MOUSE AC	Glra3		Queried	AC
AC55	Glul		Queried	AC
BC	Glul		Queried	BC
MG	Glul	Curated	Queried	MG
MOUSE AC	Gm10631	Curated		AC
NOVEL_11	Gm17750	Curated		RGC
BC	Gm20754		Queried	BC
BC1B	Gm20754		Queried	BC
BC3A	Gm20754		Queried	BC
BC5B	Gm20754		Queried	BC
CONE	Gm32442		Queried	CONE
ALPHAON-S	Gm32647		Queried	RGC
ALPHAON-T	Gm32647		Queried	RGC
DV-OODSGC	Gm32647		Queried	RGC
M1A	Gm32647		Queried	RGC
M2	Gm32647		Queried	RGC
NOVEL_20	Gm32647		Queried	RGC
NOVEL_24	Gm32647		Queried	RGC
NOVEL_29	Gm32647		Queried	RGC
NOVEL_30	Gm32647		Queried	RGC
TBR1-NOVEL	Gm32647		Queried	RGC
AC52	Gm525	Curated		AC
BC3B	Gnat2		Queried	BC
CONE	Gnat2		Queried	CONE
AC56	Gnb3		Queried	AC
BC6	Gnb3		Queried	BC
CONE	Gnb3		Queried	CONE
MG	Gng5		Queried	MG
AC17	Gng7	Curated		AC
BC5B	Gngt1		Queried	BC
RGC	Gngt1		Queried	RGC
BC3B	Gngt2		Queried	BC
BC9	Gngt2		Queried	BC
CONE	Gngt2		Queried	CONE
AC21	Gpc5		Queried	AC
M1B	Gpc5		Queried	RGC
M3, M5, OR M6	Gpc5		Queried	RGC
NOVEL_37	Gpc5		Queried	RGC
AC13	Gpc6		Queried	AC
AC24	Gpc6		Queried	AC
AC25	Gpc6		Queried	AC
AC31	Gpc6		Queried	AC
AC58	Gpc6		Queried	AC
BC6	Gpc6		Queried	BC
F-MINI-OFF	Gpc6		Queried	RGC
NOVEL_20	Gpc6		Queried	RGC
NOVEL_36	Gpc6		Queried	RGC
W3D1	Gpc6		Queried	RGC
AC14	Gpm6b		Queried	AC
MG	Gpr37		Queried	MG
AC44	Gpr88	Curated		AC
MAYBE T-OODSGC	Gpr88	Curated		RGC
CILIARY EPITHELIUM	Gpx3	Curated		EPITHELIAL
AC13	Gria3		Queried	AC
AC37	Gria3		Queried	AC
AC	Gria4		Queried	AC
AC11	Grid2		Queried	AC
AC15	Grid2		Queried	AC
AC30	Grid2		Queried	AC
AC33	Grid2		Queried	AC
AC41	Grid2		Queried	AC
AC44	Grid2		Queried	AC
AC48	Grid2		Queried	AC
AC56	Grid2		Queried	AC
AC61	Grid2		Queried	AC
AC9	Grid2		Queried	AC
BC6	Grid2		Queried	BC
F-MINI-ON	Grid2		Queried	RGC
NOVEL_25	Grid2		Queried	RGC
NOVEL_29	Grid2		Queried	RGC
NOVEL_7	Grid2		Queried	RGC
AC14	Grik1		Queried	AC
AC15	Grik1		Queried	AC
BC	Grik1		Queried	BC
BC3A	Grik1		Queried	BC
BC3B	Grik1	Curated	Queried	BC
BC4	Grik1	Curated	Queried	BC
AC10	Grik2		Queried	AC
AC13	Grin2a		Queried	AC
AC14	Grin2a		Queried	AC
AC34	Grin2a		Queried	AC
NOVEL_15	Grin2a		Queried	RGC
NOVEL_18	Grin2a		Queried	RGC
NOVEL_7	Grin2a		Queried	RGC
W3B	Grin2a		Queried	RGC
W3D1	Grin2a		Queried	RGC
AC40	Grm1		Queried	AC
AC56	Grm1		Queried	AC
NOVEL_29	Grm1		Queried	RGC
W3D2	Grm1		Queried	RGC
AC40	Grm5		Queried	AC
BC	Grm5		Queried	BC
BC1B	Grm5		Queried	BC
NOVEL_26	Grm5		Queried	RGC
NOVEL_44	Grm5		Queried	RGC
W3D1	Grm5		Queried	RGC
BC5A	Grm6		Queried	BC
BC6	Grm6		Queried	BC
ON BC BUT NOT 5D	Grm6	Curated		BC
AC35	Grm7		Queried	AC
AC41	Grm7		Queried	AC
AC47	Grm7		Queried	AC
AC58	Grm7		Queried	AC
W3D2	Grm7		Queried	RGC
AC20	Grm8		Queried	AC
AC48	Grm8		Queried	AC
BC3A	Gsg1		Queried	BC
BC3B	Gsg1		Queried	BC
BC4	Gsg1		Queried	BC
BC5C	Gsg1		Queried	BC
BC5D	Gsg1		Queried	BC
AC15	Gsta4		Queried	AC
RPE	Gsta4		Queried	RPE
CONJUNCTIVAL EPITHELIUM	Gsto1	Curated		EPITHELIAL
AC14	Gulo	Curated		AC
RGC	H2-K1		Queried	RGC
AC51	Hcn1		Queried	AC
AC58	Hcn1		Queried	AC
BC5A	Hcn1	Curated		BC
BC5B	Hcn1	Curated		BC
NOVEL_10	Hcn1		Queried	RGC
BC4	Hcn4	Curated		BC
MICROGLIA	Hexb		Queried	MICROGLIA
CYCLING MICROGLIA	Hmgb2		Queried	MICROGLIA
RGC	Hmgn1		Queried	RGC
AC35	Hpgd		Queried	AC
AC5	Hpgd		Queried	AC
AC9	Hpgd		Queried	AC
NOVEL_24	Hpgd		Queried	RGC
TBR1-S2	Hpgd		Queried	RGC
W3D2	Hpgd		Queried	RGC
AC27	Hs3st4		Queried	AC
BC5A	Hs3st4		Queried	BC
BC7	Hs3st4		Queried	BC
DV-OODSGC	Hs3st4		Queried	RGC
M3, M5, OR M6	Hs3st4		Queried	RGC
TBR1-S1	Hs3st4		Queried	RGC
AC	Hs6st3		Queried	AC
AC15	Hs6st3		Queried	AC
AC18	Hs6st3		Queried	AC
AC19	Hs6st3		Queried	AC
AC25	Hs6st3		Queried	AC
AC28	Hs6st3		Queried	AC
AC31	Hs6st3		Queried	AC
AC37	Hs6st3		Queried	AC
AC4	Hs6st3		Queried	AC
AC40	Hs6st3		Queried	AC
AC45	Hs6st3		Queried	AC
HC	Hs6st3		Queried	HC
NOVEL_11	Hs6st3		Queried	RGC
NOVEL_19	Hs6st3		Queried	RGC
NOVEL_35	Hs6st3		Queried	RGC
ASTROCYTE	Hspa1a		Queried	ASTROCYTE
MICROGLIA	Hspa1a		Queried	MICROGLIA
W3D1	Hspb1		Queried	RGC
ENDOTHELIAL	Id1		Queried	ENDOTHELIAL
AC16	Id4		Queried	AC
AC2	Id4		Queried	AC
AC29	Id4		Queried	AC
AC38	Id4		Queried	AC
AC6	Id4		Queried	AC
NOVEL_19	Id4		Queried	RGC
IFN-RESPONSE ASTROCYTE	Ifit1	Curated		ASTROCYTE
IFN-RESPONSE ASTROCYTE	Ifit3	Curated		ASTROCYTE
IFN-RESPONSE MG	Ifit3	Curated		MG
IGF2+ ASTROCYTE	Igf2	Curated		ASTROCYTE
NOVEL_26	Igfbp	Curated		RGC
AC29	Igfbp2		Queried	AC
AC53	Igfbp2		Queried	AC
AC59	Igfbp2	Curated	Queried	AC
AC6	Igfbp2		Queried	AC
ALPHAOFF-S	Igfbp2		Queried	RGC
ALPHAOFF-T	Igfbp2		Queried	RGC
NOVEL_35	Igfbp4	Curated		RGC
AC30	Igfbp5		Queried	AC
M2	Igfbp5		Queried	RGC
NOVEL_26	Igfbp5		Queried	RGC
SCLERAL FIBROBLAST	Igfbp5	Curated		IMMUNE
AC17	Igfbp7		Queried	AC
AC36	Igfbp7		Queried	AC
ENDOTHELIAL	Igfbp7		Queried	ENDOTHELIAL
PERICYTE	Igfbp7		Queried	PERICYTE
BC7	Igfn 1	Curated		BC
PLASMA B CELL	Igha	Curated		IMMUNE
AC13	Il1rapl1		Queried	AC
AC17	Il1rapl1		Queried	AC
AC18	Il1rapl1		Queried	AC
NOVEL_18	Il1rapl1		Queried	RGC
RGC	Il1rapl1		Queried	RGC
AC15	Il1rapl2		Queried	AC
AC18	Il1rapl2		Queried	AC
AC20	Il1rapl2		Queried	AC
AC25	Il1rapl2		Queried	AC
AC26	Il1rapl2		Queried	AC
AC31	Il1rapl2		Queried	AC
ALPHAON-S	Il1rapl2	Curated	Queried	RGC
BC5A	Il1rapl2		Queried	BC
BC7	Il1rapl2		Queried	BC
M4	Il1rapl2	Curated		RGC
MOUSE AC	Il1rapl2		Queried	AC
NOVEL_37	Il1rapl2		Queried	RGC
MG	Il33		Queried	MG
AC1	Inpp4b		Queried	AC
AC14	Inpp4b		Queried	AC
AC27	Inpp4b		Queried	AC
BC5C	Inpp4b		Queried	BC
BC6	Inpp4b		Queried	BC
NOVEL_25	Inpp4b		Queried	RGC
TBR1-S1	Inpp4b		Queried	RGC
MICROGLIA	Irf7	Curated		MICROGLIA
F-MINI-ON	Irx4	Curated		RGC
TBR1-S1	Irx4	Curated		RGC
BC3A	Irx6	Curated		BC
ASTROCYTE	Isg15	Curated		ASTROCYTE
IFN-RESPONSE MG	Isg15	Curated		MG
MICROGLIA	Isg15	Curated		MICROGLIA
BC6	Isl1		Queried	BC
NOVEL_29	Isl1		Queried	RGC
ON BCS (3-6, 13, 15) (6,7, 5A/B/C, 3A	Isl1	Curated		BC
TBR1-NOVEL	Isl1		Queried	RGC
W3D2	Isl1		Queried	RGC
ENDOTHELIAL	Itm2a		Queried	ENDOTHELIAL
J-RGC	Jam2	Curated		RGC
T-RGC	Jam2	Curated		RGC
PLASMA B CELL	Jchain	Curated		IMMUNE
AC16	Junb		Queried	AC
AC56	Junb		Queried	AC
ASTROCYTE	Junb		Queried	ASTROCYTE
M2	Junb		Queried	RGC
AC29	Kalrn		Queried	AC
AC51	Kalrn		Queried	AC
AC54	Kalrn		Queried	AC
AC63	Kalrn		Queried	AC
AC2	Kcna6		Queried	AC
AC32	Kcna6		Queried	AC
AC18	Kcnab1		Queried	AC
AC8	Kcnab1		Queried	AC
BC7	Kcnab1		Queried	BC
BC9	Kcnab1		Queried	BC
AC24	Kcnb2		Queried	AC
AC4	Kcnb2		Queried	AC
ALPHAON-T	Kcnb2		Queried	RGC
BC5C	Kcnb2		Queried	BC
F-MIDI-OFF	Kcnb2		Queried	RGC
F-MIDI-ON	Kcnb2		Queried	RGC
NT-OODSGC	Kcnb2		Queried	RGC
AC49	Kcnc2		Queried	AC
ALPHAOFF-S	Kcnc2		Queried	RGC
W3D1	Kcnc2		Queried	RGC
AC11	Kcnd2		Queried	AC
AC38	Kcnd2		Queried	AC
AC41	Kcnd2		Queried	AC
AC56	Kcnd2		Queried	AC
BC5D	Kcnd2		Queried	BC
F-MINI-ON	Kcnd2		Queried	RGC
J-RGC	Kcnd2		Queried	RGC
NOVEL_30	Kcnd2		Queried	RGC
NOVEL_34	Kcnd2		Queried	RGC
NOVEL_8	Kcnd2		Queried	RGC
RGC	Kcnd2		Queried	RGC
W3B	Kcnd2		Queried	RGC
W3D2	Kcnd2		Queried	RGC
AC10	Kcnd3		Queried	AC
AC30	Kcnd3		Queried	AC
AC5	Kcnd3		Queried	AC
BC4	Kcnd3		Queried	BC
NOVEL_11	Kcnd3		Queried	RGC
BC5A	Kcng4	Curated		BC
BC5D	Kcng4	Curated		BC
AC11	Kcnh5		Queried	AC
AC4	Kcnh7		Queried	AC
AC46	Kcnh7		Queried	AC
BC3A	Kcnh7		Queried	BC
NOVEL_19	Kcnh7		Queried	RGC
NOVEL_39	Kcnh7		Queried	RGC
NT-OODSGC	Kcnh7		Queried	RGC
W3B	Kcnh7		Queried	RGC
AC11	Kcnip1		Queried	AC
AC23	Kcnip1		Queried	AC
AC26	Kcnip1		Queried	AC
AC32	Kcnip1		Queried	AC
AC37	Kcnip1		Queried	AC
AC38	Kcnip1		Queried	AC
AC45	Kcnip1		Queried	AC
AC5	Kcnip1		Queried	AC
NOVEL_27	Kcnip1		Queried	RGC
NOVEL_34	Kcnip1		Queried	RGC
NOVEL_39	Kcnip1		Queried	RGC
NOVEL_8	Kcnip1		Queried	RGC
AC30	Kcnmb2		Queried	AC
RBC	Kcnmb2		Queried	BC
AC21	Kcnq5		Queried	AC
AC48	Kcnq5		Queried	AC
AC58	Kcnq5		Queried	AC
F-MINI-ON	Kcnq5		Queried	RGC
M1B	Kcnq5		Queried	RGC
NOVEL_26	Kcnq5		Queried	RGC
AC36	Kctd12	Curated		AC
AC24	Kctd16		Queried	AC
AC30	Kctd16		Queried	AC
BC4	Kctd16		Queried	BC
RGC	Kctd16		Queried	RGC
AC33	Kctd8		Queried	AC
AC35	Kctd8		Queried	AC
AC40	Kctd8		Queried	AC
F-MINI-ON	Kctd8		Queried	RGC
MOUSE AC	Kctd8		Queried	AC
AC13	Khdrbs2		Queried	AC
AC5	Khdrbs2		Queried	AC
W3D1	Khdrbs2		Queried	RGC
AC10	Kirrel3		Queried	AC
AC22	Kirrel3		Queried	AC
AC27	Kirrel3		Queried	AC
AC33	Kirrel3		Queried	AC
AC34	Kirrel3		Queried	AC
AC35	Kirrel3		Queried	AC
AC37	Kirrel3		Queried	AC
AC4	Kirrel3		Queried	AC
AC40	Kirrel3		Queried	AC
AC44	Kirrel3		Queried	AC
AC45	Kirrel3		Queried	AC
AC57	Kirrel3		Queried	AC
AC8	Kirrel3		Queried	AC
AC9	Kirrel3		Queried	AC
BC3B	Kirrel3		Queried	BC
BC5D	Kirrel3		Queried	BC
BC9	Kirrel3		Queried	BC
M3, M5, OR M6	Kirrel3		Queried	RGC
NOVEL_15	Kirrel3		Queried	RGC
NOVEL_25	Kirrel3		Queried	RGC
NOVEL_27	Kirrel3		Queried	RGC
NOVEL_35	Kirrel3		Queried	RGC
NOVEL_8	Kirrel3		Queried	RGC
OODS_CCK_14	Kirrel3		Queried	RGC
TBR1-S1	Kirrel3		Queried	RGC
ALPHAON-T	Kit	Curated		RGC
NOVEL_7	Kitl		Queried	RGC
ENDOTHELIAL	Klf2		Queried	ENDOTHELIAL
CONJUNCTIVAL EPITHELIUM	Krt15	Curated		EPITHELIAL
AC13	Lamp5		Queried	AC
AC15	Lamp5		Queried	AC
AC23	Lamp5		Queried	AC
AC3	Lamp5		Queried	AC
AC33	Lamp5		Queried	AC
AC4	Lamp5		Queried	AC
AC9	Lamp5		Queried	AC
BC2	Lamp5		Queried	BC
MOUSE AC	Lamp5		Queried	AC
MICROGLIA	Laptm5		Queried	MICROGLIA
REACTIVE ASTROCYTE	Lcn2	Curated		ASTROCYTE
AC50	Ldb2	Curated	Queried	AC
BC1A	Ldb2		Queried	BC
BC1B	Ldb2		Queried	BC
BC6	Ldb2		Queried	BC
NOVEL_19	Ldb2		Queried	RGC
NOVEL_34	Ldhb		Queried	RGC
NOVEL_36	Ldhb		Queried	RGC
NOVEL_37	Ldhb		Queried	RGC
BC6	Lect 1	Curated		BC
AC30	Lgfbp5	Curated		AC
AC24	Lgr5		Queried	AC
AC30	Lgr5		Queried	AC
AC27	Lgsf3	Curated		AC
AC19	Lhfp		Queried	AC
AC2	Lhfp		Queried	AC
TBR1-NOVEL	Lhfpl3		Queried	RGC
HC	Lhx1	Curated		HC
AC1	Lingo2		Queried	AC
AC14	Lingo2		Queried	AC
AC32	Lingo2		Queried	AC
AC41	Lingo2		Queried	AC
AC42	Lingo2		Queried	AC
AC47	Lingo2		Queried	AC
AC49	Lingo2		Queried	AC
AC5	Lingo2		Queried	AC
AC50	Lingo2		Queried	AC
AC55	Lingo2		Queried	AC
AC57	Lingo2		Queried	AC
AC61	Lingo2		Queried	AC
J-RGC	Lingo2		Queried	RGC
M1B	Lingo2		Queried	RGC
NOVEL_11	Lingo2		Queried	RGC
NOVEL_37	Lingo2		Queried	RGC
NOVEL_44	Lingo2		Queried	RGC
OODS_CCK_14	Lingo2		Queried	RGC
AC21	Lmo4		Queried	AC
AC37	Lmo4		Queried	AC
BC5D	Lmo4		Queried	BC
F-MINI-OFF	Lmo4		Queried	RGC
F-NOVEL	Lmo4		Queried	RGC
CONE	Lrfn2		Queried	CONE
AC24	Lrfn5		Queried	AC
AC30	Lrfn5		Queried	AC
AC52	Lrfn5		Queried	AC
NOVEL_8	Lrfn5		Queried	RGC
AC24	Lrp1b		Queried	AC
AC29	Lrp1b		Queried	AC
AC30	Lrp1b		Queried	AC
AC48	Lrp1b		Queried	AC
AC51	Lrp1b		Queried	AC
AC58	Lrp1b		Queried	AC
AC63	Lrp1b		Queried	AC
BC8	Lrp1b		Queried	BC
BC9	Lrp1b		Queried	BC
M2	Lrp1b		Queried	RGC
M3, M5, OR M6	Lrp1b		Queried	RGC
NOVEL_30	Lrp1b		Queried	RGC
TBR1-NOVEL	Lrp1b		Queried	RGC
AC11	Lrrc4c		Queried	AC
AC21	Lrrc4c		Queried	AC
AC40	Lrrc4c		Queried	AC
AC44	Lrrc4c		Queried	AC
AC47	Lrrc4c		Queried	AC
AC48	Lrrc4c		Queried	AC
AC50	Lrrc4c		Queried	AC
AC55	Lrrc4c		Queried	AC
AC6	Lrrc4c		Queried	AC
AC8	Lrrc4c		Queried	AC
ALPHAOFF-S	Lrrc4c		Queried	RGC
F-MINI-OFF	Lrrc4c		Queried	RGC
J-RGC	Lrrc4c		Queried	RGC
M2	Lrrc4c		Queried	RGC
NOVEL_19	Lrrc4c		Queried	RGC
NOVEL_7	Lrrc4c		Queried	RGC
TBR1-S1	Lrrc4c		Queried	RGC
TBR1-S2	Lrrc4c		Queried	RGC
W3B	Lrrc4c		Queried	RGC
W3D2	Lrrc4c		Queried	RGC
BC5D	Lrrtm1	Curated		BC
AC28	Lrrtm3		Queried	AC
AC38	Lrrtm3		Queried	AC
AC27	Lrrtm4		Queried	AC
AC36	Lrrtm4		Queried	AC
AC39	Lrrtm4		Queried	AC
AC43	Lrrtm4		Queried	AC
AC47	Lrrtm4		Queried	AC
AC55	Lrrtm4		Queried	AC
AC61	Lrrtm4		Queried	AC
F-NOVEL	Lrrtm4		Queried	RGC
NOVEL_18	Lrrtm4		Queried	RGC
NOVEL_25	Lrrtm4		Queried	RGC
NOVEL_26	Lrrtm4		Queried	RGC
NOVEL_29	Lrrtm4		Queried	RGC
NOVEL_34	Lrrtm4		Queried	RGC
NOVEL_35	Lrrtm4		Queried	RGC
NOVEL_39	Lrrtm4		Queried	RGC
NOVEL_8	Lrrtm4		Queried	RGC
RBC	Lrrtm4		Queried	BC
AC56	Lrtm1	Curated		AC
DENDRITIC CELL	Lsp1	Curated		IMMUNE
AC2	Luzp2		Queried	AC
AC46	Luzp2		Queried	AC
NOVEL_20	Luzp2		Queried	RGC
TBR1-NOVEL	Luzp2		Queried	RGC
ENDOTHELIAL	Ly6a		Queried	ENDOTHELIAL
ENDOTHELIAL	Ly6c1	Curated	Queried	ENDOTHELIAL
MOUSE AC	Ly6h		Queried	AC
MICROGLIA	Ly86		Queried	MICROGLIA
W3D1	Lypd1	Curated		RGC
W3L2	Lypd1	Curated		RGC
BAM	Lyz2	Curated		IMMUNE
AC2	Maf		Queried	AC
AC32	Maf		Queried	AC
AC55	Mafb	Curated	Queried	AC
ALPHAOFF-T	Mafb		Queried	RGC
NOVEL_34	Mafb		Queried	RGC
W3D2	Mafb		Queried	RGC
AC13	Maml2		Queried	AC
W3D2	Maml2		Queried	RGC
AC43	Man1a		Queried	AC
AC51	Man1a		Queried	AC
BC5A	Man1a		Queried	BC
M2	Man1a		Queried	RGC
AC52	Marchf1		Queried	AC
NOVEL_7	Marchf1		Queried	RGC
ROD	Marchf1		Queried	ROD
AC33	Mast4		Queried	AC
AC37	Mast4		Queried	AC
AC51	Mast4		Queried	AC
AC55	Mast4		Queried	AC
AC59	Mast4		Queried	AC
NOVEL_8	Mast4		Queried	RGC
TBR1-S2	Mast4		Queried	RGC
ENDOTHELIAL	Mecom		Queried	ENDOTHELIAL
AC17	Med12l		Queried	AC
AC39	Mef2c	Curated		AC
AC17	Megf11		Queried	AC
AC28	Megf11		Queried	AC
HC	Megf11		Queried	HC
W3D1	Megf11		Queried	RGC
AC14	Meis2		Queried	AC
AC22	Meis2		Queried	AC
AC29	Meis2		Queried	AC
AC38	Meis2		Queried	AC
AC41	Meis2		Queried	AC
AC47	Meis2		Queried	AC
AC54	Meis2		Queried	AC
ALPHAOFF-S	Meis2		Queried	RGC
BC3B	Meis2		Queried	BC
BC5D	Meis2		Queried	BC
F-MIDI-ON	Meis2		Queried	RGC
F-NOVEL	Meis2		Queried	RGC
NOVEL_15	Meis2		Queried	RGC
NOVEL_20	Meis2		Queried	RGC
NOVEL_25	Meis2		Queried	RGC
NOVEL_26	Meis2		Queried	RGC
NOVEL_29	Meis2		Queried	RGC
NOVEL_34	Meis2		Queried	RGC
TBR1-S1	Meis2		Queried	RGC
MG	Mfge8		Queried	MG
PERICYTE	Mfge8		Queried	PERICYTE
AC11	Mgat4c		Queried	AC
AC23	Mgat4c		Queried	AC
AC26	Mgat4c		Queried	AC
AC36	Mgat4c		Queried	AC
AC37	Mgat4c		Queried	AC
AC38	Mgat4c		Queried	AC
AC41	Mgat4c		Queried	AC
AC44	Mgat4c		Queried	AC
AC45	Mgat4c		Queried	AC
AC46	Mgat4c		Queried	AC
AC49	Mgat4c		Queried	AC
AC54	Mgat4c		Queried	AC
AC56	Mgat4c		Queried	AC
AC59	Mgat4c		Queried	AC
AC63	Mgat4c		Queried	AC
AC9	Mgat4c		Queried	AC
ALPHAON-T	Mgat4c		Queried	RGC
F-MINI-ON	Mgat4c		Queried	RGC
M3, M5, OR M6	Mgat4c		Queried	RGC
NOVEL_10	Mgat4c		Queried	RGC
OODS_CCK_14	Mgat4c		Queried	RGC
TBR1-S2	Mgat4c		Queried	RGC
W3D1	Mgat4c		Queried	RGC
PERICYTE	Mgp	Curated	Queried	PERICYTE
NOVEL_15	Mid1		Queried	RGC
TBR1-NOVEL	Mid1		Queried	RGC
CYCLING ASTROCYTE	Mki67	Curated		ASTROCYTE
CYCLING MICROGLIA	Mki67	Curated		MICROGLIA
MELANOCYTE	Mlana	Curated		MELANOCYTE
ASTROCYTE	Mlc1		Queried	ASTROCYTE
N-OODSGC	Mmp17	Curated		RGC
B CELL	Ms4a1	Curated		IMMUNE
MONOCYTE	Ms4a6c	Curated		IMMUNE
BAM	Ms4a7	Curated		IMMUNE
MACROPHAGE	Ms4a7	Curated		IMMUNE
MONOCYTE	Ms4a7	Curated		IMMUNE
RBC	Mt1		Queried	BC
REACTIVE MG	Mt2	Curated		MG
RPE	Mt3		Queried	RPE
PERICYTE	Myl9		Queried	PERICYTE
BC1A	Mylk		Queried	BC
CONE	Mylk		Queried	CONE
PERICYTE	Mylk		Queried	PERICYTE
AC49	Nav2		Queried	AC
AC50	Nav2		Queried	AC
AC54	Nav2		Queried	AC
AC34	Nav3		Queried	AC
AC45	Nav3		Queried	AC
AC48	Nav3		Queried	AC
AC63	Nav3		Queried	AC
J-RGC	Nav3		Queried	RGC
AC20	Ncam2		Queried	AC
AC21	Ncam2		Queried	AC
AC32	Ncam2		Queried	AC
AC38	Ncam2		Queried	AC
AC40	Ncam2		Queried	AC
AC58	Ncam2		Queried	AC
BC	Ncam2		Queried	BC
BC1B	Ncam2		Queried	BC
NT-OODSGC	Ncam2		Queried	RGC
